9 0 6 | 15 14 9
5 | 8
13 4 15 1 15 5 | 1 4 15 14 8 2
0 1 2 3 4 5 6 7 8 9 | 1 2 3 4 5 6 7 8 9 10
26 71 81 92 49 45 61 37 66 69 | 92 90 21 31 50 64 5 52 58 99
49 21 27 36 12 97 82 64 31 47 | 21 21 64 12 92 89 4 47 36 19
90 37 61 68 | 99 32 53 99
98 18 51 76 95 37 62 45 12 41 | 70 11 44 96 71 79 34 64 72 23
17 | 32
95 67 24 56 81 | 36 55 24 35 43
89 93 73 68 | 9 90 17 63
94 67 17 11 | 82 83 53 12
72 4 5 18 95 77 6 39 78 | 33 87 4 68 33 55 29 58 73
72 62 60 9 6 75 4 | 42 73 14 5 12 6 92
34 | 33
94 14 99 | 21 55 13
72 69 | 98 31
59 73 38 76 76 13 46 | 24 94 28 34 12 20 91
49 33 58 99 35 56 0 60 28 | 61 83 45 41 14 49 63 98 77
64 18 | 63 44
31 63 9 50 48 44 | 90 69 42 67 71 68
59 99 40 27 31 21 | 13 13 15 53 11 10
94 27 | 93 35
25 30 50 19 14 7 81 94 47 | 49 51 66 98 63 58 4 17 22
31 13 51 55 36 6 | 57 87 0 88 95 2
50 3 29 | 3 61 87
93 | 54
12 59 95 25 19 37 61 | 88 7 66 45 59 6 49
26 9 | 73 40
27 3 85 53 56 60 12 79 63 | 61 74 18 23 31 52 64 84 8
5 64 78 6 87 86 99 15 6 | 68 22 30 93 30 82 38 19 56
22 84 44 64 17 | 63 24 83 2 90
45 62 4 | 53 12 98
98 85 65 81 24 77 70 18 | 90 54 78 7 61 70 82 24
66 57 | 67 3
85 | 38
36 | 64
56 93 | 35 83
6 68 58 3 29 64 77 39 32 25 | 32 58 84 77 88 9 60 15 66 75
24 | 11
47 | 8
69 53 12 39 98 21 34 | 10 16 96 76 87 29 46
12 58 68 14 8 65 | 65 92 93 48 91 18
